RS6426_MB_v10_BRD_20241106
Net,-,***,5.000,5.000,***,5.000
Net,MDI_LAN1_DN0,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN1_DP0,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN1_DN1,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN1_DP1,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN1_DN2,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN1_DP2,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN1_DN3,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN1_DP3,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_A_DN,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_A_DP,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_B_DN,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_B_DP,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_C_DN,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_C_DP,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_D_DN,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN2_D_DP,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN3_A_DN,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN3_A_DP,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN3_B_DN,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN3_B_DP,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN3_C_DN,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
Net,MDI_LAN3_C_DP,30.000:0.000:30.000:30.000:0.000:30.000,5.000,8.000,5.000,5.000
